"flu_season","year_week","influenza_viruses","number_samples","number_sequenced","number_detections_influenza_viruses"
"2016-2017","2017-12","A(H3N2)",250,4,0
"2016-2017","2017-12","A(H1N1) pdm09",250,0,0
"2016-2017","2017-12","FLU B",250,5,0
"2016-2017","2017-13","FLU A",200,2,0
"2016-2017","2017-13","A",200,0,0
"2016-2017","2017-13","A(H3N2)",200,2,0
"2016-2017","2017-13","A(H1N1) pdm09",200,0,0
"2016-2017","2017-13","FLU B",200,7,0
"2016-2017","2017-14","FLU A",184,1,0
"2016-2017","2017-14","A",184,0,0
"2016-2017","2017-14","A(H3N2)",184,1,0
"2016-2017","2017-14","A(H1N1) pdm09",184,0,0
"2016-2017","2017-14","FLU B",184,5,0
"2016-2017","2017-15","FLU A",113,0,0
"2016-2017","2017-15","A",113,0,0
"2016-2017","2017-15","A(H3N2)",113,0,0
"2016-2017","2017-15","A(H1N1) pdm09",113,0,0
"2016-2017","2017-15","FLU B",113,4,0
"2016-2017","2017-16","FLU A",123,1,0
"2016-2017","2017-16","A",123,0,0
"2016-2017","2017-16","A(H3N2)",123,0,0
"2016-2017","2017-16","A(H1N1) pdm09",123,1,0
"2016-2017","2017-16","FLU B",123,2,0
"2016-2017","2017-17","FLU A",65,0,0
"2016-2017","2017-17","A",65,0,0
"2016-2017","2017-17","A(H3N2)",65,0,0
"2016-2017","2017-17","A(H1N1) pdm09",65,0,0
"2016-2017","2017-17","FLU B",65,1,0
"2017-2018","2017-46","FLU A",120,0,0
"2017-2018","2017-46","A",120,0,0
"2017-2018","2017-46","A(H3N2)",120,0,0
"2017-2018","2017-46","A(H1N1) pdm09",120,0,0
"2017-2018","2017-46","FLU B",120,2,0
"2017-2018","2017-47","FLU A",158,1,0
"2017-2018","2017-47","A",158,0,0
"2017-2018","2017-47","A(H3N2)",158,0,0
"2017-2018","2017-47","A(H1N1) pdm09",158,1,0
"2017-2018","2017-47","FLU B",158,7,0
"2017-2018","2017-48","FLU A",163,10,0
"2017-2018","2017-48","A",163,2,0
"2017-2018","2017-48","A(H3N2)",163,1,0
"2017-2018","2017-48","A(H1N1) pdm09",163,7,0
"2017-2018","2017-48","FLU B",163,18,0
"2017-2018","2017-49","FLU A",178,13,0
"2017-2018","2017-49","A",178,0,0
"2017-2018","2017-49","A(H3N2)",178,4,0
"2017-2018","2017-49","A(H1N1) pdm09",178,9,0
"2017-2018","2017-49","FLU B",178,27,0
"2017-2018","2017-50","FLU A",292,48,0
"2017-2018","2017-50","A",292,1,0
"2017-2018","2017-50","A(H3N2)",292,9,0
"2017-2018","2017-50","A(H1N1) pdm09",292,38,0
"2017-2018","2017-50","FLU B",292,74,0
"2017-2018","2017-51","FLU A",184,75,0
"2017-2018","2017-51","A",184,3,0
"2017-2018","2017-51","A(H3N2)",184,6,0
"2017-2018","2017-51","A(H1N1) pdm09",184,66,0
"2017-2018","2017-51","FLU B",184,132,0
"2017-2018","2017-52","FLU A",286,160,0
"2017-2018","2017-52","A",286,10,0
"2017-2018","2017-52","A(H3N2)",286,9,0
"2017-2018","2017-52","A(H1N1) pdm09",286,141,0
"2017-2018","2017-52","FLU B",286,251,0
"2017-2018","2018-01","FLU A",640,211,0
"2017-2018","2018-01","A",640,9,0
"2017-2018","2018-01","A(H3N2)",640,10,0
"2017-2018","2018-01","A(H1N1) pdm09",640,192,0
"2017-2018","2018-01","FLU B",640,409,0
"2017-2018","2018-02","FLU A",1211,277,0
"2017-2018","2018-02","A",1211,8,0
"2017-2018","2018-02","A(H3N2)",1211,13,0
"2017-2018","2018-02","A(H1N1) pdm09",1211,256,0
"2017-2018","2018-02","FLU B",1211,570,0
"2017-2018","2018-03","FLU A",1119,225,0
"2017-2018","2018-03","A",1119,8,0
"2017-2018","2018-03","A(H3N2)",1119,15,0
"2017-2018","2018-03","A(H1N1) pdm09",1119,202,0
"2017-2018","2018-03","FLU B",1119,455,0
"2017-2018","2018-04","FLU A",1029,205,0
"2017-2018","2018-04","A",1029,12,0
"2017-2018","2018-04","A(H3N2)",1029,13,0
"2017-2018","2018-04","A(H1N1) pdm09",1029,180,0
"2017-2018","2018-04","FLU B",1029,373,0
"2017-2018","2018-05","FLU A",1017,197,0
"2017-2018","2018-05","A",1017,13,0
"2017-2018","2018-05","A(H3N2)",1017,6,0
"2017-2018","2018-05","A(H1N1) pdm09",1017,178,0
"2017-2018","2018-05","FLU B",1017,343,0
"2017-2018","2018-06","FLU A",859,161,0
"2017-2018","2018-06","A",859,7,0
"2017-2018","2018-06","A(H3N2)",859,5,0
"2017-2018","2018-06","A(H1N1) pdm09",859,149,0
"2017-2018","2018-06","FLU B",859,193,0
"2017-2018","2018-07","FLU A",797,158,0
"2017-2018","2018-07","A",797,5,0
"2017-2018","2018-07","A(H3N2)",797,8,0
"2017-2018","2018-07","A(H1N1) pdm09",797,145,0
"2017-2018","2018-07","FLU B",797,143,0
"2017-2018","2018-08","FLU A",787,156,0
"2017-2018","2018-08","A",787,6,0
"2017-2018","2018-08","A(H3N2)",787,8,0
"2017-2018","2018-08","A(H1N1) pdm09",787,142,0
"2017-2018","2018-08","FLU B",787,121,0
"2017-2018","2018-09","FLU A",604,87,0
"2017-2018","2018-09","A",604,4,0
"2017-2018","2018-09","A(H3N2)",604,6,0
"2017-2018","2018-09","A(H1N1) pdm09",604,77,0
"2017-2018","2018-09","FLU B",604,81,0
"2017-2018","2018-10","FLU A",556,67,0
"2017-2018","2018-10","A",556,3,0
"2017-2018","2018-10","A(H3N2)",556,2,0
"2017-2018","2018-10","A(H1N1) pdm09",556,62,0
"2017-2018","2018-10","FLU B",556,51,0
"2017-2018","2018-11","FLU A",348,49,0
"2017-2018","2018-11","A",348,1,0
"2017-2018","2018-11","A(H3N2)",348,2,0
"2017-2018","2018-11","A(H1N1) pdm09",348,46,0
"2017-2018","2018-11","FLU B",348,43,0
"2017-2018","2018-12","FLU A",308,27,0
"2017-2018","2018-12","A",308,1,0
"2017-2018","2018-12","A(H3N2)",308,1,0
"2017-2018","2018-12","A(H1N1) pdm09",308,25,0
"2017-2018","2018-12","FLU B",308,20,0
"2017-2018","2018-13","FLU A",205,17,0
"2017-2018","2018-13","A",205,2,0
"2017-2018","2018-13","A(H3N2)",205,3,0
"2017-2018","2018-13","A(H1N1) pdm09",205,12,0
"2017-2018","2018-13","FLU B",205,9,0
"2017-2018","2018-14","FLU A",171,13,0
"2017-2018","2018-14","A",171,0,0
"2017-2018","2018-14","A(H3N2)",171,1,0
"2017-2018","2018-14","A(H1N1) pdm09",171,12,0
"2017-2018","2018-14","FLU B",171,0,0
"2017-2018","2018-15","FLU A",165,7,0
"2017-2018","2018-15","A",165,2,0
"2017-2018","2018-15","A(H3N2)",165,0,0
"2017-2018","2018-15","A(H1N1) pdm09",165,5,0
"2017-2018","2018-15","FLU B",165,1,0
"2017-2018","2018-16","FLU A",107,4,0
"2017-2018","2018-16","A",107,1,0
"2017-2018","2018-16","A(H3N2)",107,0,0
"2017-2018","2018-16","A(H1N1) pdm09",107,3,0
"2017-2018","2018-16","FLU B",107,0,0
"2017-2018","2018-17","FLU A",58,3,0
"2017-2018","2018-17","A",58,0,0
"2017-2018","2018-17","A(H3N2)",58,0,0
"2017-2018","2018-17","A(H1N1) pdm09",58,3,0
"2017-2018","2018-17","FLU B",58,0,0
"2018-2019","2018-46","FLU A",193,193,7
"2018-2019","2018-46","A",193,193,0
"2018-2019","2018-46","A(H3N2)",193,193,3
"2018-2019","2018-46","A(H1N1) pdm09",193,193,4
"2018-2019","2018-46","FLU B",193,193,1
"2018-2019","2018-47","FLU A",222,222,19
"2018-2019","2018-47","A",222,222,0
"2018-2019","2018-47","A(H3N2)",222,222,13
"2018-2019","2018-47","A(H1N1) pdm09",222,222,6
"2018-2019","2018-47","FLU B",222,222,0
"2018-2019","2018-48","FLU A",254,254,20
"2018-2019","2018-48","A",254,254,1
"2018-2019","2018-48","A(H3N2)",254,254,11
"2018-2019","2018-48","A(H1N1) pdm09",254,254,8
"2018-2019","2018-48","FLU B",254,254,0
"2018-2019","2018-49","FLU A",320,320,19
"2018-2019","2018-49","A",320,320,0
"2018-2019","2018-49","A(H3N2)",320,320,9
"2018-2019","2018-49","A(H1N1) pdm09",320,320,10
"2018-2019","2018-49","FLU B",320,320,0
"2018-2019","2018-50","FLU A",346,346,35
"2018-2019","2018-50","A",346,346,0
"2018-2019","2018-50","A(H3N2)",346,346,10
"2018-2019","2018-50","A(H1N1) pdm09",346,346,25
"2018-2019","2018-50","FLU B",346,346,0
"2018-2019","2018-51","FLU A",410,410,55
"2018-2019","2018-51","A",410,410,1
"2018-2019","2018-51","A(H3N2)",410,410,22
"2018-2019","2018-51","A(H1N1) pdm09",410,410,32
"2018-2019","2018-51","FLU B",410,410,0
"2018-2019","2018-52","FLU A",329,312,83
"2018-2019","2018-52","A",329,312,6
"2018-2019","2018-52","A(H3N2)",329,312,19
"2018-2019","2018-52","A(H1N1) pdm09",329,312,58
"2018-2019","2018-52","FLU B",329,312,0
"2018-2019","2019-01","FLU A",462,426,142
"2018-2019","2019-01","A",462,426,3
"2018-2019","2019-01","A(H3N2)",462,426,41
"2018-2019","2019-01","A(H1N1) pdm09",462,426,98
"2018-2019","2019-01","FLU B",462,426,0
"2018-2019","2019-02","FLU A",658,591,267
"2018-2019","2019-02","A",658,591,15
"2018-2019","2019-02","A(H3N2)",658,591,82
"2018-2019","2019-02","A(H1N1) pdm09",658,591,170
"2018-2019","2019-02","FLU B",658,591,3
"2018-2019","2019-03","FLU A",986,859,560
"2018-2019","2019-03","A",986,859,41
"2018-2019","2019-03","A(H3N2)",986,859,176
"2018-2019","2019-03","A(H1N1) pdm09",986,859,343
"2018-2019","2019-03","FLU B",986,859,2
"2018-2019","2019-04","FLU A",1270,1110,727
"2018-2019","2019-04","A",1270,1110,14
"2018-2019","2019-04","A(H3N2)",1270,1110,257
"2018-2019","2019-04","A(H1N1) pdm09",1270,1110,456
"2018-2019","2019-04","FLU B",1270,1110,1
"2018-2019","2019-05","FLU A",1431,1352,833
"2018-2019","2019-05","A",1431,1352,62
"2018-2019","2019-05","A(H3N2)",1431,1352,316
"2018-2019","2019-05","A(H1N1) pdm09",1431,1352,455
"2018-2019","2019-05","FLU B",1431,1352,0
"2018-2019","2019-06","FLU A",1563,1486,918
"2018-2019","2019-06","A",1563,1486,84
"2018-2019","2019-06","A(H3N2)",1563,1486,391
"2018-2019","2019-06","A(H1N1) pdm09",1563,1486,443
"2018-2019","2019-06","FLU B",1563,1486,0
"2018-2019","2019-07","FLU A",1416,1337,742
"2018-2019","2019-07","A",1416,1337,30
"2018-2019","2019-07","A(H3N2)",1416,1337,378
"2018-2019","2019-07","A(H1N1) pdm09",1416,1337,334
"2018-2019","2019-07","FLU B",1416,1337,0
"2018-2019","2019-08","FLU A",1294,1253,661
"2018-2019","2019-08","A",1294,1253,81
"2018-2019","2019-08","A(H3N2)",1294,1253,342
"2018-2019","2019-08","A(H1N1) pdm09",1294,1253,238
"2018-2019","2019-08","FLU B",1294,1253,2
"2018-2019","2019-09","FLU A",924,853,468
"2018-2019","2019-09","A",924,853,54
"2018-2019","2019-09","A(H3N2)",924,853,298
"2018-2019","2019-09","A(H1N1) pdm09",924,853,116
"2018-2019","2019-09","FLU B",924,853,0
"2018-2019","2019-10","FLU A",929,886,328
"2018-2019","2019-10","A",929,886,38
"2018-2019","2019-10","A(H3N2)",929,886,223
"2018-2019","2019-10","A(H1N1) pdm09",929,886,67
"2018-2019","2019-10","FLU B",929,886,0
"2018-2019","2019-11","FLU A",667,619,192
"2018-2019","2019-11","A",667,619,17
"2018-2019","2019-11","A(H3N2)",667,619,138
"2018-2019","2019-11","A(H1N1) pdm09",667,619,37
"2018-2019","2019-11","FLU B",667,619,0
"2018-2019","2019-12","FLU A",422,407,139
"2018-2019","2019-12","A",422,407,16
"2018-2019","2019-12","A(H3N2)",422,407,102
"2018-2019","2019-12","A(H1N1) pdm09",422,407,21
"2018-2019","2019-12","FLU B",422,407,0
"2018-2019","2019-13","FLU A",406,392,62
"2018-2019","2019-13","A",406,392,3
"2018-2019","2019-13","A(H3N2)",406,392,45
"2018-2019","2019-13","A(H1N1) pdm09",406,392,14
"2018-2019","2019-13","FLU B",406,392,0
"2018-2019","2019-14","FLU A",328,327,41
"2018-2019","2019-14","A",328,327,4
"2018-2019","2019-14","A(H3N2)",328,327,32
"2018-2019","2019-14","A(H1N1) pdm09",328,327,5
